State_Name,District_Name,Crop_Year,Season,Area (Hectare),Production (Tonnes),yield (Tonne/Hectare)
Andhra Pradesh,VISAKHAPATANAM,2006,Whole Year,42589.0,2491286.0,58.49599662
Andhra Pradesh,VISAKHAPATANAM,2007,Whole Year,41000.0,2554000.0,62.29268293
Andhra Pradesh,VISAKHAPATANAM,2008,Whole Year,38998.0,2201279.0,56.44594595
Andhra Pradesh,VISAKHAPATANAM,2009,Whole Year,40038.0,1845668.0,46.09790699
Andhra Pradesh,VISAKHAPATANAM,2010,Whole Year,38819.0,2221674.0,57.23161339
Andhra Pradesh,VISAKHAPATANAM,2011,Whole Year,37862.0,2152876.0,56.86112725
Andhra Pradesh,VISAKHAPATANAM,2012,Kharif,37322.0,2071560.0,55.50506404
Andhra Pradesh,VISAKHAPATANAM,2013,Kharif,37603.0,2103656.0,55.94383427
Andhra Pradesh,VISAKHAPATANAM,2014,Kharif,37535.0,1814054.0,48.32966565
Andhra Pradesh,VIZIANAGARAM,1997,Kharif,10000.0,601100.0,60.11
Andhra Pradesh,VIZIANAGARAM,1998,Whole Year,11600.0,720800.0,62.13793103
Andhra Pradesh,VIZIANAGARAM,1999,Whole Year,11231.0,793278.0,70.6328911
Andhra Pradesh,VIZIANAGARAM,2000,Whole Year,10184.0,750054.0,73.65023566
Andhra Pradesh,VIZIANAGARAM,2001,Whole Year,10614.0,732143.0,68.97899001
Andhra Pradesh,VIZIANAGARAM,2002,Whole Year,13400.0,579550.0,43.25
Andhra Pradesh,VIZIANAGARAM,2003,Whole Year,13501.0,668907.0,49.54499667
Andhra Pradesh,VIZIANAGARAM,2004,Whole Year,15635.0,969636.0,62.01701311
Andhra Pradesh,VIZIANAGARAM,2005,Whole Year,18077.0,893401.0,49.42197267
Andhra Pradesh,VIZIANAGARAM,2006,Whole Year,20695.0,1141847.0,55.17501812
Andhra Pradesh,VIZIANAGARAM,2007,Whole Year,22000.0,1246000.0,56.63636364
Andhra Pradesh,VIZIANAGARAM,2008,Whole Year,15900.0,836945.0,52.63805031
Andhra Pradesh,VIZIANAGARAM,2009,Whole Year,12077.0,614676.0,50.89641467
Andhra Pradesh,VIZIANAGARAM,2010,Whole Year,15208.0,972574.0,63.95147291
Andhra Pradesh,VIZIANAGARAM,2011,Whole Year,16185.0,1056677.0,65.28742663
Andhra Pradesh,VIZIANAGARAM,2012,Kharif,16021.0,996737.0,62.21440609
Andhra Pradesh,VIZIANAGARAM,2013,Kharif,16894.0,1062110.0,62.86906594
Andhra Pradesh,VIZIANAGARAM,2014,Kharif,14463.0,875345.0,60.52305884
Andhra Pradesh,WEST GODAVARI,1997,Kharif,27600.0,2156600.0,78.13768116
Andhra Pradesh,WEST GODAVARI,1998,Whole Year,29000.0,2321300.0,80.04482759
Andhra Pradesh,WEST GODAVARI,1999,Whole Year,30006.0,2892444.0,96.3955209
Andhra Pradesh,WEST GODAVARI,2000,Whole Year,38177.0,2765821.0,72.44731121
Andhra Pradesh,WEST GODAVARI,2001,Whole Year,32855.0,3070267.0,93.4490032
Andhra Pradesh,WEST GODAVARI,2002,Whole Year,34992.0,2915988.0,83.3329904
Andhra Pradesh,WEST GODAVARI,2003,Whole Year,32723.0,2991438.0,91.416985
Andhra Pradesh,WEST GODAVARI,2004,Whole Year,33640.0,3030493.0,90.08599881
Andhra Pradesh,WEST GODAVARI,2005,Whole Year,34369.0,3087642.0,89.83799354
Andhra Pradesh,WEST GODAVARI,2006,Whole Year,36365.0,3329761.0,91.56499381
Andhra Pradesh,WEST GODAVARI,2007,Whole Year,35000.0,3331000.0,95.17142857
Andhra Pradesh,WEST GODAVARI,2008,Whole Year,29394.0,2981148.0,101.4202899
Andhra Pradesh,WEST GODAVARI,2009,Whole Year,20329.0,2027847.0,99.75143883
Andhra Pradesh,WEST GODAVARI,2010,Whole Year,26564.0,2546933.0,95.87912212
Andhra Pradesh,WEST GODAVARI,2011,Whole Year,27054.0,2506788.0,92.65868263
Andhra Pradesh,WEST GODAVARI,2012,Kharif,24411.0,2174825.0,89.0920077
Andhra Pradesh,WEST GODAVARI,2013,Kharif,24026.0,2214048.0,92.15216848
Andhra Pradesh,WEST GODAVARI,2014,Kharif,19090.0,1732242.0,90.74080671
Arunachal Pradesh,ANJAW,2004,Whole Year,5.0,50.0,10.0
Arunachal Pradesh,ANJAW,2005,Whole Year,7.0,70.0,10.0
