state_name,district_name,year,season,area_hectare,yield_t_ha,yield_tons_per_hectare,state,district,yield,ndvi_region,source_region,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,variety,prev_year_yield,yield_3yr_avg,historical_avg_yield
Andhra Pradesh,ANANTAPUR,,Whole Year,410.0,95.57560976,,Andhra Pradesh,Anantapur,95.57560976,,,,,,,Co 86032,89.28085106,91.28548694000001,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Kharif,76.0,91.5,,Andhra Pradesh,Anantapur,91.5,,,,,,,Co 86032,95.57560976,92.11882027333336,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Kharif,281.0,94.32384342,,Andhra Pradesh,Anantapur,94.32384342,,,,,,,Co 86032,91.5,93.79981772666667,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Kharif,30.0,81.86666667,,Andhra Pradesh,Anantapur,81.86666667,,,,,,,Co 86032,94.32384342,89.23017003,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,490.0,8667.346939,,Andhra Pradesh,Anantapur,8667.346939,,,,,,,Co 86032,81.86666667,2947.845816363333,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,329.0,6833.130699,,Andhra Pradesh,Anantapur,6833.130699,,,,,,,Co 86032,8667.346939,5194.114768223334,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,454.0,7133.480176,,Andhra Pradesh,Anantapur,7133.480176,,,,,,,Co 86032,6833.130699,7544.652604666667,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,400.0,8518.0,,Andhra Pradesh,Anantapur,8518.0,,,,,,,Co 86032,7133.480176,7494.870291666666,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,227.0,9080.176211,,Andhra Pradesh,Anantapur,9080.176211,,,,,,,Co 86032,8518.0,8243.885462333334,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,339.0,9125.958702,,Andhra Pradesh,Anantapur,9125.958702,,,,,,,Co 86032,9080.176211,8908.044971,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,131.0,9393.129771,,Andhra Pradesh,Anantapur,9393.129771,,,,,,,Co 86032,9125.958702,9199.754894666667,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,112.0,8900.0,,Andhra Pradesh,Anantapur,8900.0,,,,,,,Co 86032,9393.129771,9139.696157666667,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,235.0,8928.085106,,Andhra Pradesh,Anantapur,8928.085106,,,,,,,Co 86032,8900.0,9073.738292333333,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,410.0,9557.560976,,Andhra Pradesh,Anantapur,9557.560976,,,,,,,Co 86032,8928.085106,9128.548694,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,281.0,9432.384342,,Andhra Pradesh,Anantapur,9432.384342,,,,,,,Co 86032,9557.560976,9306.010141333334,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,30.0,8186.666667,,Andhra Pradesh,Anantapur,8186.666667,,,,,,,Co 86032,9432.384342,9058.870661666666,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,77.0,8258.441558,,Andhra Pradesh,Anantapur,8258.441558,,,,,,,Co 86032,8186.666667,8625.830855666667,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,95.0,10000.0,,Andhra Pradesh,Anantapur,10000.0,,,,,,,Co 86032,8258.441558,8815.036075,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,86.0,10443.02326,,Andhra Pradesh,Anantapur,10443.02326,,,,,,,Co 86032,10000.0,9567.154939333333,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Kharif,173.0,9500.0,,Andhra Pradesh,Anantapur,9500.0,,,,,,,Co 86032,10443.02326,9981.007753333333,5042.462115601579
